Date,Open,High,Low,Close,Adj Close,Volume
2007-11-12,29158.7109375,29158.7109375,28167.73046875,28185.900390625,28185.900390625,134013500
2007-11-13,28187.830078125,29499.2109375,28177.73046875,29484.779296875,29484.779296875,166169000
2007-11-14,29484.779296875,30196.890625,29484.779296875,29655.6796875,29655.6796875,183482800
2007-11-15,29639.599609375,29775.0,29013.4609375,29170.900390625,29170.900390625,132069500
2007-11-16,29172.83984375,29631.5703125,29022.060546875,29631.5703125,29631.5703125,100685800
2007-11-21,29057.9296875,29057.9296875,28374.8203125,28446.44921875,28446.44921875,105890700
2007-11-22,28417.73046875,28619.25,28417.73046875,28520.16015625,28520.16015625,12445600
2007-11-23,28520.16015625,28736.609375,28393.2109375,28710.869140625,28710.869140625,56789800
2007-11-26,28709.2109375,28941.390625,27882.580078125,27883.009765625,27883.009765625,101299900
2007-11-27,27888.830078125,28213.30078125,27647.470703125,28124.650390625,28124.650390625,102407300
2007-11-28,28126.2109375,29425.779296875,28126.2109375,29276.390625,29276.390625,173167600
2007-11-29,29276.390625,29740.810546875,29195.859375,29399.919921875,29399.919921875,112281400
2007-11-30,29432.830078125,30047.990234375,29432.830078125,29770.51953125,29770.51953125,197682200
2007-12-03,29770.51953125,29971.580078125,29580.76953125,29968.529296875,29968.529296875,88112600
2007-12-04,29969.16015625,30154.310546875,29765.419921875,29998.7890625,29998.7890625,97022000
2007-12-05,30025.580078125,30790.509765625,30025.580078125,30761.640625,30761.640625,187169800
2007-12-06,30776.859375,31261.880859375,30772.099609375,31257.30078125,31257.30078125,141177900
2007-12-07,31257.23046875,31408.240234375,31128.720703125,31268.359375,31268.359375,135086100
2007-12-10,31269.83984375,31452.970703125,31097.48046875,31182.75,31182.75,108306400
2007-12-11,31184.279296875,31426.390625,30319.830078125,30327.359375,30327.359375,126872500
2007-12-13,30303.509765625,30303.509765625,29686.939453125,30088.0390625,30088.0390625,124462400
2007-12-14,30084.970703125,30164.650390625,29768.849609375,29994.900390625,29994.900390625,69386200
2007-12-17,29994.16015625,29994.16015625,28895.58984375,28968.19921875,28968.19921875,123391100
2007-12-18,28993.48046875,29424.98046875,28839.75,29254.98046875,29254.98046875,123505900
2007-12-19,29254.98046875,29527.240234375,29025.900390625,29074.119140625,29074.119140625,117367600
2007-12-20,29074.119140625,29200.919921875,29011.650390625,29148.44921875,29148.44921875,104751600
2007-12-21,29148.44921875,29736.109375,29148.44921875,29638.400390625,29638.400390625,95666600
2007-12-24,29639.169921875,29871.470703125,29639.169921875,29853.76953125,29853.76953125,27122800
2007-12-26,29857.599609375,30041.44921875,29838.119140625,30002.4609375,30002.4609375,47889000
2007-12-27,29969.25,29969.25,29640.76953125,29642.119140625,29642.119140625,39607000
2007-12-28,29642.859375,29820.310546875,29588.2109375,29700.189453125,29700.189453125,46800600
2007-12-31,29700.189453125,29738.029296875,29241.939453125,29536.830078125,29536.830078125,32672400
2008-01-02,29536.830078125,29733.560546875,28684.330078125,28699.119140625,28699.119140625,101740500
2008-01-03,28687.849609375,29046.609375,28666.94921875,28860.779296875,28860.779296875,78935800
2008-01-04,28860.779296875,28860.779296875,28226.4609375,28317.919921875,28317.919921875,93434400
2008-01-07,28327.890625,28420.5,27811.599609375,28152.560546875,28152.560546875,104241300
2008-01-08,28158.119140625,28698.859375,28158.119140625,28267.779296875,28267.779296875,147153700
2008-01-09,28260.16015625,28404.900390625,27748.740234375,28401.609375,28401.609375,163572400
2008-01-10,28399.279296875,29093.48046875,28174.9609375,29069.560546875,29069.560546875,176867400
2008-01-11,29069.560546875,29240.599609375,28574.609375,28723.8203125,28723.8203125,106765600
2008-01-14,28725.349609375,28959.9609375,28440.83984375,28607.44921875,28607.44921875,107568000
2008-01-15,28603.66015625,28603.66015625,27901.5,27961.849609375,27961.849609375,160136000
2008-01-16,27954.1796875,27954.1796875,26982.26953125,27343.5703125,27343.5703125,212490500
2008-01-17,27343.5703125,27604.8203125,26560.859375,26698.66015625,26698.66015625,182094200
2008-01-18,26698.66015625,27144.66015625,26325.4609375,26713.830078125,26713.830078125,163589000
2008-01-21,26692.859375,26692.859375,25282.310546875,25284.880859375,25284.880859375,82536400
2008-01-22,25298.970703125,27019.7890625,25298.970703125,26892.740234375,26892.740234375,215089300
2008-01-23,26888.869140625,27620.330078125,25833.3203125,27620.330078125,27620.330078125,190439100
2008-01-24,27626.470703125,28323.150390625,27626.470703125,27905.130859375,27905.130859375,186883700
2008-01-25,27922.009765625,28419.66015625,27379.919921875,27379.919921875,27379.919921875,122925100
2008-01-28,27379.919921875,27764.359375,26991.630859375,27758.9296875,27758.9296875,103723100
2008-01-29,27828.0,28326.619140625,27828.0,28263.94921875,28263.94921875,130366500
2008-01-30,28262.849609375,28782.51953125,28104.099609375,28296.80078125,28296.80078125,144325400
2008-01-31,28295.23046875,28802.5703125,27656.630859375,28793.640625,28793.640625,243839600
2008-02-01,28793.33984375,29494.5390625,28746.029296875,29429.9296875,29429.9296875,173546800
2008-02-05,29404.83984375,29404.83984375,28086.150390625,28086.970703125,28086.970703125,163168500
2008-02-06,28091.529296875,28552.580078125,27918.810546875,27929.2890625,27929.2890625,144956500
2008-02-07,27929.720703125,28276.779296875,27472.26953125,28088.3203125,28088.3203125,149717300
2008-02-08,28087.890625,28210.529296875,27963.029296875,28185.259765625,28185.259765625,123837400
2008-02-11,28159.130859375,28823.94921875,27952.98046875,28789.55078125,28789.55078125,137057400
2008-02-12,28916.4609375,29296.630859375,28868.390625,28869.9609375,28869.9609375,189625600
2008-02-13,28871.880859375,29316.859375,28871.880859375,29306.759765625,29306.759765625,168112000
2008-02-14,29306.759765625,29375.5390625,29051.80078125,29138.919921875,29138.919921875,134397500
2008-02-15,29139.009765625,29139.009765625,28576.119140625,28744.810546875,28744.810546875,104607200
2008-02-18,28744.810546875,29178.130859375,28707.859375,29172.2109375,29172.2109375,28032000
2008-02-19,29172.439453125,29423.0703125,28891.119140625,28899.970703125,28899.970703125,146877700
2008-02-20,28874.130859375,29225.26953125,28651.130859375,29224.439453125,29224.439453125,114691700
2008-02-21,29246.30078125,29495.919921875,29219.359375,29361.3203125,29361.3203125,122940400
2008-02-22,29355.759765625,29528.7890625,29044.8203125,29528.7890625,29528.7890625,114595100
2008-02-25,29537.25,29970.83984375,29425.73046875,29962.880859375,29962.880859375,122389000
2008-02-26,29962.880859375,30353.359375,29779.580078125,30228.080078125,30228.080078125,211038900
2008-02-27,30228.080078125,30633.7109375,30095.150390625,30424.759765625,30424.759765625,153453400
2008-02-28,30425.470703125,30597.5,30128.849609375,30130.470703125,30130.470703125,146328900
2008-02-29,30129.2109375,30129.2109375,28916.98046875,28918.51953125,28918.51953125,203444800
2008-03-03,28904.7109375,29546.599609375,28710.390625,29526.69921875,29526.69921875,140738000
2008-03-04,29534.310546875,29534.310546875,28863.060546875,29261.109375,29261.109375,155506400
2008-03-05,29261.109375,29490.900390625,29093.330078125,29277.349609375,29277.349609375,145494800
2008-03-06,29276.330078125,29276.330078125,28716.8203125,28717.0390625,28717.0390625,136271200
2008-03-07,28717.140625,28907.759765625,28388.1796875,28612.75,28612.75,143365000
2008-03-10,28611.720703125,28710.349609375,28080.630859375,28207.2890625,28207.2890625,240998500
2008-03-11,28233.900390625,29466.169921875,28233.900390625,29466.169921875,29466.169921875,202437700
2008-03-12,29463.990234375,29886.080078125,29282.349609375,29283.400390625,29283.400390625,159787000
2008-03-13,29281.689453125,29758.0,28799.119140625,29703.08984375,29703.08984375,127929400
2008-03-14,29703.08984375,29783.75,28593.94921875,29048.509765625,29048.509765625,132334200
2008-03-18,29048.509765625,29573.0703125,28953.060546875,29515.55078125,29515.55078125,116291800
2008-03-19,29517.0703125,29588.83984375,28903.009765625,29071.33984375,29071.33984375,126425600
2008-03-24,29074.580078125,29930.9296875,29055.849609375,29634.16015625,29634.16015625,132521800
2008-03-25,29636.33984375,30144.509765625,29611.419921875,29981.080078125,29981.080078125,115395700
2008-03-26,29981.01953125,30057.900390625,29750.1796875,30057.259765625,30057.259765625,132391000
2008-03-27,30058.44921875,30320.98046875,29985.4609375,29987.05078125,29987.05078125,116581500
2008-03-28,29996.9609375,30181.58984375,29916.529296875,30089.900390625,30089.900390625,85730600
2008-03-31,30083.349609375,31109.169921875,30002.91015625,30912.990234375,30912.990234375,361514400
2008-04-01,30916.0390625,32079.890625,30916.0390625,31787.6796875,31787.6796875,362679500
